,name,overall_rating,review_text,date,review_count
0,Versante Hotel,4.4,"Absolutely fabulous! This is a luxurious hotel you wouldn't expect to find near an airport The rooms are spacious and have everything you need. They are very comfortable. The bathroom is exquisite. The large soaking tub and the heated floors really are over and above. I love the Dyson hairdryer with the diffuser for my curly hair. 

I love the lighting system and decor.

The staff is friendly and the food is excellent. 

I highly recommend it.",2023-10-21T22:35:42Z,23
1,Versante Hotel,4.4,"I had a couple of problems in my room, but this could have easily been a 5 star hotel. Check in was prompt and friendly. The employee at the lobby met us as we walked in, as we came in late. Gave us the rundown and welcomed us to his beautiful hotel. It was decorated for the holidays, and absolutely beautiful.
The room was instagram worthy. Eclectic wallpaper, dyson hairdryer in the bathroom, heated bathroom floors, robes, slippers, Nespresso coffee maker, and a showstopper of a tub. Impressive! The beds were so comfortable and the pillows were great. I absolutely love a Nespresso machine. I hate the garbage a one cup brewer makes, but they really DO make a fine cup of coffee.
Why four stars? There were a couple of problems with my room that could be fixed and easily be 5 stars. First off, the plugs in the desk and nightstand did not work. I am sure it was a breaker or something that needed to be flipped, but it was late and I was not about to call up for maintenance. I had to plug my work phone in in the bathroom and my personal one in the alarm clock on the other side of the bed. First world problems indeed, but that was a lot of plugs that were not working. Secondly, the tub was not holding water. I used the stopper in the drain and it continued to drain water. Also the temperature of the water coming out of the tub was not as hot as the shower. I had to plug up the tub to make it hold water.
As I said, these are easily fixed issues but not something one wants to do after a late check in. I would LOVE to stay here again. It is in an industrial area, but there are a few things worth checking out. I read that there is an amazing night market nearby if you are there on the right night. Also the location to the airport is great.",2023-11-23T03:37:11Z,23
2,Versante Hotel,4.4,"When our flight was canceled, and I was extremely upset because we were going to lose a whole day of vacation they showed up to this hotel, very frantic and emotional, and Chloe from the front desk was so kind and gentle with me when I was upset, she made me feel so much better. And then we went to have dinner in the lounge with Henry and he was also magnificent. This hotel gets 1000 stars. They are amazing. They hire amazing staff and if you're in the area you need to visit the hotel it's absolutely gorgeous.",2024-03-23T03:06:13Z,23
3,Versante Hotel,4.4,"Room is stylish and bathroom has a nice egg bathtub with heated floors. The room was a lot smaller than expected however and there is a charge for bottled water. Overall, stay was pleasant but felt more like a 4 star hotel rather than 5 star.",2024-04-05T01:29:33Z,23
4,Versante Hotel,4.4,"We found ourselves in an area that was a bit industrial and without a clear direction the entrance is located in a sudden spot right off the nearby intersection. We missed the entrance and had to cautiously circle the block.
 
Upon arrival, there was no attendant and we parked in front of the valet booth. As we entered the lobby, a staff person came out and told us we could not park in front of it and had to move our car a couple feet forward. Really?

Hotel ~ brand new, modern design, new new new. Special occasion had us book their luxury suite.

Entering the room, it was blistering hot. Went back to the front desk to explain our heat issue. We were told since we just checked in, it will take 30 minutes to cool down. 6 hours later returning after venturing around town, the room was still unbearable. The front desk tried relating it to being on the top floor and all the combination of heat riding and the sun directly into the windows. Regardless we had to switch to a lower level with no direct sunlight. Still muggy and uncomfortable. Though built recently, the maintenance staff shared this hotel AC system does not seem adequate to vent cool air throughout the building. Three days of uncomfortable temperatures in the room. Be forewarned!

We chose this hotel because it was a 10 minute walk to the Richmond Night Market and about a 15 minute walk from the main cluster of hotels & retail.

Amenities ~ rooftop pool was nice to splash in though the view was overlooking industrial warehouses. Rain shower was nice but can be seen by onlookers from the parking lot below. Must pull the blinds for privacy which ruins the point of a soaking tub view. Bar akin the hotel was not open.

No snack bar available so annoyingly you have to shop somewhere else and bring your own.

Front desk service ~ disappointing from the start. Not enthusiastic or informative about exploring Richmond.

Their blog has been not been updated for almost a year.",2022-10-28T12:31:41Z,23
5,Versante Hotel,4.4,"My family and I stayed at this hotel two months ago. It's situated near the Vancouver International Airport. Staff was very friendly and check-in was quick.

The hotel was hip and modern and the rooms were beautiful. We had a room with two queen beds and there was a chair, desk, refrigerator, safe and iron.  

The bathroom had a half open tub and rainfall shower and two sinks. The toilet had a separate area with a glass door. It also had a Dyson hair dryer which we fell in love with!

The hotel also had a restaurant on the ground floor, fitness centre and a rooftop pool but we didn't get a chance to try it.

Unfortunately, with most hotels in Richmond, there was no free parking so we just opt with the valet parking. Even though it was expensive, their service was friendly and prompt.

I would definitely stay here again!",2023-01-04T20:22:12Z,23
6,Versante Hotel,4.4,"If you're looking for a nice hotel before an early morning flight - Versante Hotel is a good call. They're close by the airport, and they have a solid rooftop pool, complimentary slippers, comfortable beds, and a beautiful deep soaking bath (complete with lovely bath salts etc). 

This hotel served us well for some self care before our departure, and I enjoyed the unique decor,  but unless we have another early morning flight heading out from Vancouver Airport in the near future, I think I'd rather stay in the heart of Vancouver. 

Like most airport hotels in the area - Versante Hotel - is not conducive to walking around and exploring the general vicinity. There is just busy traffic, empty buildings, and construction going on around the hotel. I was also not a huge fan of the restaurant offerings during our visit (it looks like it's been slightly updated since). The menu was creative - but it was pricey and if you were looking for straightforward simple menu offerings (which I prefer for good rest and/or a morning flight) - this is not your spot. 

We ended up getting food in the heart of Vancouver and stocking up on some light snacks at a healthy grocery store.

After our city exploring  - it was nice to come on back to our comfortable room here - take a soothing bath, and get some fantastic rest before our early departure.

Trust.",2023-01-10T21:51:40Z,23
7,Versante Hotel,4.4,"This hotel is excellent, great service, great food, and the rooms are very spacious including a shower room and system that controls the temperature and the lights, their outdoor pool provides a wonderful view of the city, (and their staff is very helpful if you end up leaving your glasses at the pool side) that happened to me when i was there lol",2023-08-04T13:36:32Z,23
8,Versante Hotel,4.4,Loved the hotel and all of the high tech amenities. Service was great. Parking was affordable but it was a hassle getting in after hours.,2022-11-13T02:37:47Z,23
9,Versante Hotel,4.4,"This hotel is both instagrammable and comfortable. Creative interior design, views of downtown, a heated rooftop pool and hot tub with views of the planes landing, a comfortable bed, good plug, lighting and charging situations, a cool bathtub - what else can you need? Oh wait, a friendly staff, a few blocks from reliable public transportation, and a nice in house restaurant. And dog friendly - usually hotels this nice are not! I'd definitely stay here again.",2022-10-01T23:56:51Z,23
10,Versante Hotel,4.4,"Had the pleasure of staying here for the weekend and what a treat! EVERYONE was so nice, attentive, helpful, welcoming and the list goes on! The room was clean and modern! Loved everything about it! Housekeeping didn't get a chance to clean our room when we were out in the AM so they offered a late night cleaning while we were out again and they definitely came through! Great amenities! Valet parking for an extra charge but so worth it!
The only downfall was the first night I could hear the doors open and close and people out in the hallway almost all night. I still rate 5 stars though because the hotel itself was, for the most part, a great place to stay!
Will definitely be back!",2021-08-30T05:31:37Z,23
11,Versante Hotel,4.4,"We had a very comfortable stay here at Versante. The hotel is very nice, it's super close to the airport. There are a good amount of dining choices here, definitely worth checking out. There is a shuttle that they can take you back to the airport which was super helpful. We will definitely be back again.",2023-04-06T20:24:10Z,23
12,Versante Hotel,4.4,Perfect hotel with a great staff that is extremely attentive! Will recommend to anyone traveling to Vancouver!,2023-08-12T19:49:51Z,23
13,Versante Hotel,4.4,"Words are not enough to describe the ambience & comfort this boutique hotel offers. The street entrance to this hotel is a bit odd if you don't know the area but the moment you step out of your car for valet parking to the moment you check out is an experience. Every detail has been well thought out (smart windows, heated bathroom floors & dyson hair dryer), every staff has been trained well (kind, helpful & can carry a good conversation) & if staycation is what you're looking for, you don't need to leave this hotel. From the roof top pool & hot tub to the amazing restaurants, everything is in the hotel property.",2022-09-19T02:41:20Z,23
14,Versante Hotel,4.4,"Pros: Beautiful room, top notch appliances (Ex: Dyson hair Dryer!), Comfortable bed, friendly staffs (during check in/out)

Cons: Shares parking garage with retail building that closes at 11:30PM, almost got locked out and couldn't get back in until luckily a restaurant employee let us back into the garage.  Went to the front desk for help but there was nobody there :( (it was later explained that there is only one staff in the evenings)/ parking overnight at the garage cost $30.00!!! The hotel crosses the street only charge $15.00 and able to return to it at any time of the day/ Hot water only available in the evening, wife tried to take a bath in the tub the next morning, but only lukewarm water was available :( / Tried to call front desk for extra box of tissue but hotel phone while fancy but didn't work :(",2022-12-13T18:36:41Z,23
15,Versante Hotel,4.4,"Great location, nice staff, nice room!
This hotel is a little fancy but rate is reasonable. Design is very modern and staff is super friendly. I'll come back again!",2021-09-20T19:13:24Z,23
16,Versante Hotel,4.4,"We choose the Versante after we suddenly had to change our travel plans for Vancouver. The hotel was excellent. Clean and right spacious rooms with lots of amenities. It's really nice that the rooms have door bells and buttons to set privacy or indicate that the rooms should be made up. The location is central to the Canada Linie trains so downtown Vancouver can be reached in about 20 minutes. There are also two malls in the vicinity which make for ample shopping. 

The soaking bath tube and the roof pool give plenty of opportunity to get into the water. 

The staff is really helpful and nice. When our flight was delayed we were offered a late check out at no additional costs. 

The free airport shuttle is also worth mentioning. 

Highly recommended!",2022-07-29T12:01:06Z,23
17,Versante Hotel,4.4,"The Versante legitimately can describe itself as not your typical airport hotel. The rooms feature colourful decor with all the usual amenities you'd expect plus a few you might not; for example, the contents of the minibar were complimentary. (And as a tea drinker, I love having a kettle in the room.)

The bathroom was gloriously spacious and left my husband wondering if we could fit a rainfall shower with heated floor and free standing bathtub in our bathroom at home.

The staff were incredibly friendly and helpful.

There is an excellent restaurant on the ground floor.

Only downsides are the area (convenient to the airport and walking distance to the skytrain, but not particularly scenic) and parking (pricy valet parking is pretty much the only option).",2021-10-04T00:11:33Z,23
18,Versante Hotel,4.4,"Really cool place .. but let's get right to the restaurant ... food. OMG ‼so good . 
Chef William torched the oysters( delicious sauce ) 
 Salad .. nothing ordinary .. delicious 
Pasta .. tagliatelle. ... WOW  
And the the dessert .. 
We'll be back. Thankyou Brad .. bartender .. was our server since the restaurant was booked .. Thankyou Ruby .. making our experience so amazing",2021-09-11T02:28:32Z,23
19,Versante Hotel,4.4,"I booked Versante Hotel for a night for a birthday celebration. I had never traveled to Canada before and was worried that I would feel unwelcome or too much like a tourist. The entire staff made us feel welcome from the time we pulled into the parking lot. The woman at the front desk offered refreshments while checking in, and the valet had great suggestions for activities around the neighborhood. There was a lot of construction around the area, but the view from the room was still stunning and the inside of the hotel itself was gorgeous. I had to make a stop on the second floor just to look at the bathroom. There is plenty to do to entertain yourself within the hotel, and the restaurants on site served possibly the best meals I've ever had. I will definitely stay here again.",2022-05-26T16:28:36Z,23
20,Versante Hotel,4.4,Very poor customer service at hotel reception. I have never had to speak to both the hotel front desk and manager without issue resolved. Team not interested in guest satisfaction if an issue raised. Would not recommend staying here. Plenty more 5 star hotels vs boutique hotels available in Vancouver .,2023-01-10T17:56:13Z,23
21,Versante Hotel,4.4,Super close to the night market! Staff was super helpful and friendly. The room was super cute and clean! The amenities were very nice as well! Would come back here again!,2022-10-08T21:55:07Z,23
22,Versante Hotel,4.4,Isabelle the events co-ordinator/ bartender at Versante bar is the best you'll ever have. Do yourself a favour and go grab a drink at the lobby bar. I haven't tried the food but will return with an updated review once I do. Currently I wish I could give this 10 stars because it has been the perfect experience at the lobby bar!,2021-09-04T04:38:31Z,23
23,OPUS Hotel Vancouver,4.3,"Love, love loved this hotel. The service was so, incredibly friendly and accommodating, our room was amazing, the location is perfect, and it's really not that expensive considering how crazy hotel prices have gone in the past 5 years. 

They gave us sparkling wine when we checked in as well as the option to upgrade from a room to a pretty fabulous suite, and I think the upgrade was maybe only an extra $100. The highlights were the panoramic view of downtown, two bathrooms, heated floors and of course the Dyson hairdryer. 

The concierge incredible. He was so friendly and helpful. I wish I could remember his name. He arranged dinner for us, gave us lots of tips, and just, overall, made us feel welcome and like very important guests. I am pretty sure he makes everyone feel that way. 

Great place!",2023-11-07T14:18:12Z,181
24,OPUS Hotel Vancouver,4.3,"Parking is about $50+ each day, I stayed at other nicer hotels that came with parking , cheaper parking on the street outside that goes overnight for a $1-$2. Stated through Expedia there was a pool and hot tub, there isn't. The room was nice, bathroom as well no issues there & they did provide tooth brush which was nice. Check in on all was easier on the app then when you get there, the guy at the desk ignored me like 3x when I asked for help with the payment on their card reader. Seen other hotels that had parking & breakfast/restaurants or even a pool that were just as good for location in city.",2024-03-30T16:31:57Z,181
25,OPUS Hotel Vancouver,4.3,"Beautiful boutique hotel that is close to the fun part of downtown and davie street. Had an amazing girls night here, and loved being in the heart of the city. It's so luxurious and we truly felt pampered by the heated bathroom floors, amazing shower pressure and all the high end amenities. The concierge and valet services were always available when we needed them.",2023-11-22T18:17:38Z,181
26,OPUS Hotel Vancouver,4.3,"Couldn't have picked a lovelier place to stay and celebrate our anniversary. It started the moment we got out of the car and approached the door, where the manager Scott greeted us with a very warm ""Happy Anniversary!"" welcome. Such a lovely gesture that typifies the care and kindness of the staff here. We spent a few minutes in the lobby getting fantastic recommendations from Scott and his front desk staff, and we knew right away we were in for a treat of a stay.

We then met front desk worker extraordinaire and new best friend Brendan :) He was such a fun, sweet, kind person who treated us like family and personally made sure that we had the very best experience possible. He has a wonderful energy that will instantly make your day! The cleaning staff were lovely as well, even just when passing by in the hallway they always greeted us with a warm hello and a big smile. So many little things make this hotel truly stand out.

To top things off, we happened to run into manager Scott in the airport as we were getting ready to fly home and he was heading off on vacation. Even there, super early in the morning, he was so friendly and kind. It was a perfect send off to an absolutely lovely visit to beautiful Vancouver. Thank you so much to Scott, Brendan, and the rest of the amazing staff at the Opus. We will always remember you so fondly and hope to see you again.",2023-10-13T21:32:10Z,181
27,OPUS Hotel Vancouver,4.3,"Great hotels abound. Of the countless ones I've experienced around the world (and in Vancouver), Opus stands out. Its staff are the warmest and most-genuine I've encountered. The consistency of a sunshine spirit across all teams -- bell/valet, guest services, housekeeping -- speaks strongly to excellent hiring and a great management team that shapes and reinforces this culture. That simply adds to pleasures of its premium location and the superb Faubourg patisserie, which made every morning a taste of the Paris life. 

I expect that this will be my new home base whenever I return to Vancouver!",2023-05-13T20:52:45Z,181
28,OPUS Hotel Vancouver,4.3,"We had a very comfortable stay here at OPUS. We loved it for its location and the amazing restaurant they have attached, Capo. The staff were super nice and the rooms were nice. Definitely will be back again when we're in Vancouver next.",2023-05-31T16:10:35Z,181
29,OPUS Hotel Vancouver,4.3,"The great service, location, and other elements of the stay overshadowed a few negatives of our stay. The front-desk staff and concierge were great to interact with and super helpful, especially when fetching an item from our valet-parked car. The location could not be better: across the street is a subway station, at least two bus-lines have stops within a block of the OPUS, there are fantastic restaurants of several types (higher-end/classy/romantic dining to quicker sit down & take-out places) and bars within 1-2 blocks, and the water is just 3 blocks away; the water taxis (False Creek Ferries & AquaBus) have a stop right there as well which makes travel to Granville Island and other spots along False Creek super fast and fun to get to. There's also markets and a great grocery store (Urban Fare) a block or two away. We ""customized"" our stay by requesting a room with purple walls (check out their pictures to get an idea of the color options) and they were able to get us such a room. The room was pretty reasonable (deluxe courtyard room) but the standouts for us were the rain shower (probably one of the best showers I've ever been in, but it doesn't have a hand-held shower head/nozzle which may bother some) and the fireplace.

Finding OPUS on first arrival was more challenging than it needed to be because we arrived during the day and there's only a tiny sign that you have to know is there to identify the building from the restaurant and pastry place at the bottom (the building is lit up purple at night) and difficult to see valet parking sign (impossible to see if there are cars in it, and that isn't uncommon since they only can handle 2 cars parked out front at a time). The room itself had a few issues I wouldn't expect at a hotel costing as much as this per night: the bathroom has two sliding doors which don't meet well in the middle, and one door would slowly slide open if not fully opened; the room's refrigerator had a key-lock to latch it closed (I've never seen that before) and as a result would not easily open or latch, and didn't get very cold even when latched.

Would definitely recommend staying here primarily for the location and easy transit options for people wanting to do a lot of things downtown.",2022-09-15T04:39:25Z,181
30,OPUS Hotel Vancouver,4.3,"Nice boutique hotel in the center of Yaletown, which turns out to be one of the happening areas in downtown Vancouver currently.  Staff and management are super friendly.  Amer, the manager on duty, was VERY pleasant and helpful in resolving an issue I had with our reservation.  The hotel is clean and relatively quiet, despite being right on a well travelled road.  Food at COPA, the hotel restaurant is good as well, not your typical low grade hotel fare.  Definitely worth looking at if you are staying in Vancouver, whether it is business or pleasure!",2023-03-20T22:35:51Z,181
31,OPUS Hotel Vancouver,4.3,"Great location. The rest, not so great. 

They checked us into the wrong room, with a Queen instead of a king bed. Then when we complained, they never apologized and took 30 min to call back with a ""solution"".

Moved us to another room - but we had to ask for the adjustment to our bill which they would only honor as a bottle of wine or restaurant credit... tacky move. 

The room they moved us to was awful. It was over a club and even with earplugs in, we had zero sleep until 4am when it quieted down. I live in the city but the sounds of screaming 20 somethings is hard to drown out. 

Finally - the breakfast we were forced to go to in order to redeem our credit was horrific. They delivered someone else's food to our table. Left it there for 5 minutes and then just took it to her table after. Eeeeek! 
We waited 45 min for coffee and 50 min for our food. 

Honestly, I have been excited to try this hotel for years. It was dated and clearly not what it used to be. Too bad. I would recommend looking elsewhere. Two stars for the location and the awesome night staff that brought us earplugs at 2am.",2022-10-23T22:38:51Z,181
32,OPUS Hotel Vancouver,4.3,"If I could leave 10 stars I would!  The Opus Hotel has imbedded in them what many others in the hospitality industry want.  A staff of professionals who understand how to make a person feel!  The essence of this place is how each individual professional shows up as their authentic self, while ensuring each guest has a seamless thoughtful experience. My wife and I frequently stay in high end exclusive places around the world.  The Opus hotel is the boutique hotel that treats each guest like a beloved friend who stopped in for a weekend.  We were welcomed in by Vince and Jean. Vince ensured we had a beautiful glass of rose to start our weekend.  Jean is a resturant savant. She ensured our culinary experience was spectacular. We met Brandon the next day, it is clear Brandon is concierge extraordinaire. He anticipated and delivered options that ensured our experiences around town were well balanced and interesting. Justin ensured we would be able to view the US Open a tennis finals when asking the bar to play it in their screen. When we wanted to take the complimentary battery assist bikes out for the afternoon, Mattias ensured they were properly fitted and gave a comprehensive overview on how to operate the bikes. When we needed to extend the three hour use time we called back and was granted an additional hour so we could finish our breakfast and enjoy the peddle back ""home"". Fiona made our departure easy and worry free. Her attention to detail when reviewing the folio was only matched by her insistence we stay a little longer for the sheer joy of each others company.  It felt like we were saying goodby to friends we would soon see again. This coupled with a room that was clean and well tended. The location of the Opus hotel is unmatched, anything you want is within a 10 to 15 minute walk, the restaurants are incredible, the rail really is jut 32 steps away. The waterfront 3 blocks away.",2023-09-12T17:42:52Z,181
33,OPUS Hotel Vancouver,4.3,"I really wanted to like this place as the website made it look so trendy and modern, but I was wrong.

The lobby was about the best part of the hotel.  The staff was very snobby and not welcoming.  The carpet was dirty and the windows OMG looked as if they never had been cleaned.  

It was however a great location, but I would abandon the location and stay at a nicer hotel.  I will not be back and would not recommend it to others.

BTW-DO NOT get the courtyard view unless you want a view of dead plants and cigarette butts!",2010-12-31T03:06:33Z,181
