,gym_name,overall_rating,review_text,date
0,Gold's Gym,1.0,"The parking lot in the basement, especially this spot has no  do not back in  sign although the spot next to it has it. Don t back in on that spot. The yellow frame is not visible on the rear mirror nor the camera when you back up. That s the bad part about this gym. Gym itself is good though. But there goes my 800 dollars.",6 months ago
1,Gold's Gym,2.0,"The gym staff and equipment are good to great, however I've been a member since Jan 8th and have gone 3 times a week since then and the washrooms, sinks and showers have been out of order the entire time with no timeline of getting them fixed.  The locker rooms are barely adequate.  In one section of the men's change room people in the free weight section can see clear into the lockers/ changing area.  I've asked about the showers 3 or 4 times and nobody ever can give a clear answer.",a month ago
2,Gold's Gym,4.0,"Id like to write this review specifically for Mish, one of the staff I have had the pleasure of knowing for about a year since I started working out at Golds. Mish is not just the friendliest, but also the most attentive. I spoke to him on several occasions about issues I find with the gym and he not only listened to me with proper attention but he also guided me on ways on how can make my concerns heard. He also gave me some awesome workout tips that have helped me on my journey of self improvement! Overall, although Golds is rather subpar gym with dated, old and broken equipment, it is run by individuals the like of Mish who are friendly, sociable and great at their jobs. ",2 months ago
3,Gold's Gym,1.0,"A pretty awful gym with the worst staff - e.g., nagging you every time you workout to increase your pass duration or ""upgrade"" to a more expensive plan. Absolute scam when trying to cancel as well. Do not sign a contract with this gym, they make it impossible to cancel.",2 months ago
4,Gold's Gym,1.0,"Outdated equipment, horrible staff except for a few, no maintenance work, too busy with too many dumb annoying students wanting attention on social media for their lackluster workouts & the guys are insufferable simps that need to talk to & bother everyone for self benefit with no self awareness & a ton of half naked women giving each workout 25 percent at best & 100 percent  look at me but don t approach me vibes.  Place is a Effing joke. Do not expect to meet good people. Nice people have agendas too & they will talk to you & suck the soul out of every workout you try to do.",5 months ago
5,Gold's Gym,4.0,"I have been working out for almost 9 months with the Gold s Gym University Market Place and It has satisfied my expectations so far. There are drawbacks that if it could be addressed, I'd be happier. 1- for a reason they removed the paper towels from the men's locker room and the hand dryer is the noisiest dryer that I have ever seen. 2- More bench presses are needed. I always need to wait a long time to do a bench press.",6 months ago
6,Gold's Gym,5.0,"A great gym with good equipment and friendly staff. The main reason for the review is to flag how helpful Yash Modi was for myself and my partner. As a member of the gym's staff, he was incredibly friendly, informative and provided great advice around membership. Would recommend asking for him if you're looking for membership information. ",8 months ago
7,Gold's Gym,5.0,Golds gym has an amazing environment for people anywhere along their gym journey. The staff are really friendly. The fitness consultant shaiyan has a lot of knowledge and gives great tips to plan my workout.,9 months ago
8,Gold's Gym,3.0,"The staff are really nice and pleasant. There is a good variety of free weights and machines. The negative is waiting for weeks for a machine to get repaired. For a name like Golds, customers shouldn't have to wait weeks for repairs. Currently, the leg press, biceps curls, and bench are all down. Otherwise, its a solid gym.",10 months ago
9,Gold's Gym,4.0,Decent gym however the showers need way more attention. Floor is often slimy feeling and sometimes smell like pee,3 months ago
10,Gold's Gym,1.0,"Honestly this place doesn't even deserve one star. Here is the thing. I've heard golds gym ages ago also had an amazing tour in LA's where the staffs are also super friendly.Since i have membership with good life i didn't know the golds gym is also running business in Canada. So recently I've booked a free one day pass and really looking forward.After 1hr drive from where i live to UBC golds gym( they have four locations, UBC,west broadway. Langley and another i couldn't remember). I planned to go for a run after work out so i chose ubc one. Ok direct to the point now. I was told unfortunately I'm not allowed to work out here cuz i don't live near by within 10km or you can become the membership with us then i asked them to prove that regulation cuz i wouldn't even come if i saw this information. Then they showed me a sentence on the website says must be local resident. Please tell me how to define LOCAL. No matter which location i chose will be out of 10km. At the end i was told either pay 15 bucks or leave. Really don't wanna ruined my day so i paid. Booked a one day free pass turns out been charged. Hilarious. Besides that. All the equipments are super old. Oldies but not goodies. ",6 months ago
