,gym_name,overall_rating,review_text,date,review_count
0,Vancouver Aquatic Centre,3.3,Love this place. Reasonable daily fee and water was in great condition. Some lane business however easy to get in an go as circle swimming is the norm. Wish I could go here every day!,2022-06-21T03:42:18Z,30
1,Vancouver Aquatic Centre,3.3,"I went swimming here yesterday and accidentally left my only shorts on the bench in the changing room after my swim. After calling as soon as I got home and then calling 15 times the next day, not once did they pick up, straight to machine that hangs up with no message option. 
Frustrated, I drove there today after work and after calling over and over throughout the day (within 23 hours of leaving them there) and I waited outside until a janitor came past the door, he went and got a staff member who then apparently looked in the room and then withhin minutes he told me that they don't keep lost-and-found they just throw left items away.

Pretty pissed off to say the least. Not only did you throw my belongings out, you never answered any of my calls to give me any chance of retrieving them. 

I will never go back, also the pool is gross it's the worst in the city.",2020-12-15T01:13:35Z,30
2,Vancouver Aquatic Centre,3.3,"I joined at the same time i started on Jenny Craig. One goes hand in hand if your serious about losing weight (for me at least )

This pool is close to my condo downtown featuring the water work outs i was looking for.

 I personally love the deep water which are Tues and Thurs at 1pm and Sunday at 4 pm .

I have gone to the moderate aqua fit in the shallow end in the mornings,  but didn't like it as much until i went to a Wed evening 7 pm class that ROCKED!!! 
 I plan on adding that to my weekly class schedule. 

My only complaint is that one of the instructors plays THE SAME CD of Latin themed music which i personally cannot stand. 

The change rooms also are a bit gross and the hot tub is kinda small and dimly lit. But overall its helped me lose 20 pounds so far!",2010-04-01T19:17:12Z,30
3,Vancouver Aquatic Centre,3.3,I go to the Vancouver Aquatic centre every week. I have been wanting to learn how to swim for many years now and as an adult it's a hard thing to start doing. I recently started classes elsewhere - since the classes here were always full and I have been on the wait list multiple times. I do come here to practice my swimming since their drop in rates are reasonable. The facilities are dated and could use a little upgrade. The price is what makes it feasible for a novice swimmer like myself.,2018-07-17T21:01:32Z,30
4,Vancouver Aquatic Centre,3.3,"My neighbourhood pool.
It's not fancy. It's a dated building, but what more do you want? It's a pool.
Admission is dirt cheap and public swim times are plentiful and convenient. 
Change rooms are always clean. Staff are helpful and laid back.
The kiddie pool is nice and warm and at it's deepest it's only 2.5' deep, makes a great little spot for the wee ones to splash and play. It's a great option for the kids when the weather is crappy.",2015-03-30T22:47:32Z,30
5,Vancouver Aquatic Centre,3.3,The best swimming experience one can have! 50-m standard pool with sufficient space for everyone! The lanes are split by speed. Canadians swim fast!!,2018-04-15T02:35:39Z,30
6,Vancouver Aquatic Centre,3.3,"Friends and I came here for long distance swim training. This pool is a 50-meter pool. We were very happy about getting there in time for their discounted prices (Generally, 6 Canadian dollars per person, but that Saturday after 1PM only 3 Canadian per person)

When we got ready to swim, there were lanes that already marked with different speed. Both my friends were in the medium speed lane and I was in the slow speed lane. In slow lane, people were mellow and relaxed. I actually swam over someone who was on his backstroke! After a while, I just had to swam pass those mellow people! :P 3 of us finished 4000 meters within 2 hours that day! Confidence booster for all of us.

Shower facility was clean. You bring your own shampoo and stuff, which is fair for the amount of money we paid. The only thing was, free parking is impossible in the neighborhood (well, we were from Seattle. I only lopped a couple times around. Eventually, we parked right next to the pool and paid for parking. I believe it's about 10 Canadian dollars for entire day)

We are planning to come back again (if our pool in Federal Way is not available). We will possibly check the 50-meter outdoor pool too.",2015-03-25T16:47:02Z,30
7,Vancouver Aquatic Centre,3.3,Woman at the check-in counter was one of the rudest people I've met in a long time.  Place was dirty and pool was cold.  Will never return.,2017-07-10T05:51:03Z,30
8,Vancouver Aquatic Centre,3.3,"I go here about once a week. With the HST now in effect the drop in price is currently $6.75, which isn't bad at all considering it's $15 at most private gyms, including the YMCA. 

The pool is Olympic size, with a smaller pool connected to it, making for a tetris-esque shape. While doing laps you're quite likely to see either the water polo team practicing, the dive team doing their thing, or an aquafit class. 

The width of the pool is actually 21 meters, not 25. If you're serious about doing laps, this can be frustrating. 

The major week point of the place is its workout center. It can get VERY crowded, and much of the equipment is pretty worn down.",2010-07-17T16:18:30Z,30
9,Vancouver Aquatic Centre,3.3,"After living in the West End for over ten years, I finally went to the Vancouver Aquatic Centre this week.
I have been going to aquafit classes at Brittania with friends but we decided to try something a little closer to home this time.
The instructor was friendly and kept the workout varied and fun.
I was surprised at the size of the pool - it really is big! 
The water temperature in the pool is slightly warmer than it is at Brittania which I really liked as I can get cold after aquafit and there were a lot less children.
I am looking forward to seeing the windows open in the summer so I can swim with a nice view of the water and the Westside. 
I would absolutely recommend this pool to anyone.",2012-02-29T18:59:01Z,30
