,name,overall_rating,review_text,date,review_count
0,Cindy Haircuts,5.0,"Cindy haircuts are amazingly done for men and women. For me personally, nothing but the best because I've been searching for many barbers and stylist and found the best out there. Cindy actually takes her time to cut your hair the way you want it. Does not rush the service and makes sure you're satisfied. Amazing hair cut, been going to her for over 2 years and I have always been impressed. She washes the hair after the haircut which is a bonus with no additional cost. Highly recommended and is reasonably cheap compared to other hair salons/barbers. One quick tip, make sure you text her because she can be very busy in schedule. Hope this helped.",2015-02-13T09:28:50Z,1
1,Tsubaki Hair Express,3.7,"High quality service, fast response, friendly staff. Strongly recommend. I went there for short haircut and hairstyle re-design.",2023-01-28T06:50:20Z,63
2,Tsubaki Hair Express,3.7,"I used their straightening service twice before, and it lasted for a good four months. I've done japanese straightening in several other places over the years, also lasting around the same: months.
This time around, it barely lasted a month. :((
I brushed it off as maybe I wasn't drying it right, and went on with it, but it kept bugging me so I called them, only to be told it's ""semi-permanent"".  I'm feeling really disappointed. Not worth it.

And very quick research shows what japanese straightening is supposed to be: ""With Japanese hair straightening, human hair is permanently straightened with a special solution. The hair is then rinsed, then separated into sections dried and ironed. ... Once straightened, hair will not go back to its frizzy or curly form, although any new hair growth will maintain the natural texture of your hair.""
Source: https://www.patrickevansalon.com/keratin-vs-japanese-hair-straightening#:~:text=With%20Japanese%20hair%20straightening%2C%20human,into%20sections%20dried%20and%20ironed.&text=Once%20straightened%2C%20hair%20will%20not,natural%20texture%20of%20your%20hair.",2021-03-31T19:04:00Z,63
3,Tsubaki Hair Express,3.7,"Great experience for a cheap haircut in downtown Vancouver! Parking is sometimes a little challenging to find, but definitely not a reason to not give this place a shot!",2023-05-21T03:17:01Z,63
4,Tsubaki Hair Express,3.7,Friendly service and quality hair cuts. I think I've had all the hairstylists cut my hair at some point and they've all been really good! There's ac inside which is nice as well on a hot day.,2021-07-05T20:02:48Z,63
5,Tsubaki Hair Express,3.7,"I made an appointment for a haircut on a weekday morning. The hairstylist made sure we are clear on how much hair I want to trim off and let me know the pricing prior to cutting. 

Yuka was very polite and did a quick blowdry and style for my hair at the end. My appointment was done in 30 min for a 4 inch cut.  I was happy with my cut, and so I made my next appointment for a hair treatment.
 
Tip: if you plan to get your hair washed, you must specify this when you make the appointment so they can allot enough time for that",2017-12-10T00:19:39Z,63
6,Tsubaki Hair Express,3.7,Getting a haircut at Tsubaki is a wonderful experience and the stylists do a great job. The prices are very fair and the quality of the work they do is exceptional. Will definitely be back. Thank you!,2022-05-02T13:02:55Z,63
7,Tsubaki Hair Express,3.7,This is the place to go for a quick/hassle free trim or haircut if you're in downtown but don't want to spend $30+ on a haircut. I give this place a 4 star since it is reasonable for its price. I have been to nicer salons where I paid $45 for just a trim so this place is a saviour when it comes to a quick cleaning of split ends at $10. If you come here definitely don't expect anything fancy but do expect a service that is courteous and efficient.,2021-11-30T04:54:10Z,63
8,Tsubaki Hair Express,3.7,"I got my hair done here today and was very impressed with the service! My stylist was Rina, she gave me gorgeous silver/blonde highlights and a haircut. She worked very efficiently and gently, all the staff are extremely polite and friendly. The salon itself isn't a fancy place but it's very conveniently located and more affordable than other salons I've been to for the same service. I'll definitely come back here and recommend to friends!",2020-07-15T21:08:30Z,63
9,Tsubaki Hair Express,3.7,"Great job cutting my hair as an Asian man. Very polite service, fast, and very reasonable prices. I called ahead for an appointment but I think you can walk in if you're willing to wait.",2019-07-05T23:43:39Z,63
10,Tsubaki Hair Express,3.7,"I would probably come back here for the haircut. They are polite and price is more than reasonable, and you can usually get an appointment within a few days. 
However I feel like the hair dye experience is subpar for it's price $85. The chemical used has very unbearable smell and still prominent after 1 week.",2019-10-19T23:23:59Z,63
11,Tsubaki Hair Express,3.7,"As I sat down for the haircut, I asked my hairstylist how long will it take for the hair color, and he told me how much it would be instead.  Then he showed me the scissors (which was odd because he didn't need to do that) when he asked me if I want my hair to be thinner.  When I asked him to show me the ends of my hair while he was holding the mirror at the back, he just looked at me and showed me the back of my head instead.  I gave up on talking to him.  They had an additional hairstylist to blow dry my hair and he was disturbingly rough (he shook my head with his fingers and kept hitting my jaw which was unnecessary).

When I looked into the mirror after I left, I realized that one side of my hair was shorter than the other side and it was obvious.  This was unacceptable.  No wonder they gave me a cheaper price (I was surprised when I saw the bill but now I know why).",2019-05-13T00:22:40Z,63
12,Tsubaki Hair Express,3.7,"It is so convient to find a salon in downtown that have appointments readily available when you call in to book.  Their service is super quick but they also ensure your hair cut and colour is to your liking. My hairstylist had to re-dye my hair twice for touch up  because she wasn't happy with how the colour didn't match my initial dye. It is great to know 00ylist takes the effort in the quality of their work! Everyone is super friendly there.  Note, colouring typically doesn't include the cost of the blow and dry. But they offered me free blow and dry because I had haircut with 7 days before my hair dye session. Or else the cost would have been an additional $5 for the twins",2017-12-16T07:42:23Z,63
13,Tsubaki Hair Express,3.7,"Tsubaki Hair Express is definitely a ""best bang for your buck"" sort of hair salon, with no frills nor hidden charges. 

I started coming here a few months ago since my friend had recommended it to me and I found on google maps that the salon was only a 10 minute walk away from work.  I actually get my hair cut once a month and it's usually during lunch-time since their cuts only take 30 minutes if you choose to do the one inch trim, without wash and blowdry.  

I basically only pay $15 (+tax + tip so ~$17.50-$18) for my cut and I usually book my appointment when they open in the morning at 10am.  For women it's $18 for a trim and I feel that it's extremely reasonable since they also layer your hair and such.  My stylist is Noriko and she's extremely polite and really puts in effort into making your hair look nice, even with the time constraints.

My mother comes here as well (we both actually used to go to Chura) and she normally goes for the $18 trim + $7 shampoo/blowdry, and occasionally the $18 trim + $20 treatment+shampoo/blowdry.  It's an extremely good deal because she normally gets a trim every 5-6 weeks so Tsubaki's services are perfect for her!  If you want a full haircut (as in like... a complete style change, eg: going from chest length hair to a short bob) then it's $25 or something. (For guys its $20 but I don't know many guys who request for such dramatic changes)",2014-10-26T00:26:40Z,63
14,Tsubaki Hair Express,3.7,"In Dec after class at BCIT I found this salon by chance.  Saw the price list, very reasonable, and decided to go in for a trim that's long overdue. I was very lucky and got in without an appointment.  Char was my stylist and she was attentive to my requests and did a very good job with my hair.

Now I needed another trim again and called to book an appt with Char but she doesn't work on Saturdays.  I got Ai this time and she did a fantastic job as well. 

I paid $25+tax+tips for a trim (more than 1 inch).  I think it's very reasonable.  Who needs a fancy wash anyway.  They're quick and you can probably do it during lunchtime.",2017-03-19T00:56:49Z,63
15,Tsubaki Hair Express,3.7,"The service is always good. And the staffs here are very friendly. 
I get my hair cut and shampoo done for about $27 including tips. LOVE this place",2017-07-29T02:34:02Z,63
16,Tsubaki Hair Express,3.7,"Yay! I didn't know we had this genre of Japanese hair salon in Vancouver: utilitarian, not glam. Like the ones you'd find beside train stations and you walk in without an appointment.

I found this place on Yelp looking for Inexpensive Japanese Hair Salon. The first inkling I got that this place was different was when I phoned to make an appointment: they said they didn't need my phone number, since it was just a cut. The next was when I walked in, and there was a guy sitting in a client chair blow-drying his own hair...

Usually, even when I ask for a ""cut"", the salon gives me a ""cut and shampoo"", and I go along with it. This place didn't!! I""m so happy, not just because it makes it cheaper ($15+HST+tip=$20), but it takes forever to dry my long and heavy hair. I was out in 45 minutes! That never happens!

I was happy with the result. Normal Japanese skills good. The stylist properly connected my bangs to the rest of my hair and reduced the volume, as is usually done. I would go to my regular place to drastically change my style, but this is a good quick stop for touch-up trims (when my normal salon is booked 2 weeks in advance).",2010-11-12T07:17:24Z,63
