,gym_name,overall_rating,review_text,date,review_count
0,Levels Nightclub,4.0,"We were visiting Canadaand got bottles. The place is large and has a variety of edm and hip hop. My friends and I had a blast. The only thing that was a small issue was that you have to go down a flights of stairs to the use the bathroom. However, the bathroom section has a lot of bathrooms available. I would definitely come again.",2023-11-22T07:49:47Z,5
1,Levels Nightclub,4.0,Good music but they didn't have half the place open which kinda sucked. Quick service on drinks though,2023-10-02T18:34:14Z,5
2,Levels Nightclub,4.0,"Will have to say it's by far one of the better night clubs I've been to in Vancouver. It's new and the lay out is quite impressive, making it a spacious venue. There are three levels (bathrooms, dance floor, and lounge). 

We got on the guest list so cover was free for us. Would recommend this option even if it means coming a little earlier to the club! 

The music was decent. They play pretty popular music and it's easy to dance to. 

I especially liked the bottom floor where they had different sections of decorated walls to take pictures of (perfect for Instagram). The bathrooms are also really nice and they have perfume and cologne for people to freshen up with! 

The only thing I would say that could be improved would be the entry line. It can get pretty confusing since when you enter, you're in a dark narrow hallway and it can be challenging when people are trying to check in while others are trying to exit the club. 

Overall, great venue and I know I'll come again the next time I visit!",2019-06-23T18:55:13Z,5
3,Levels Nightclub,4.0,"Overall - a really impressive nightclub in Vancouver. We reserved for the guest list on the website in the morning and we were able to get in with no cover fee (they won't send an email confirmation of guest list though - hopefully this is added soon). Getting there at 10PM on a Saturday when it opened, there was already a pretty long line to get in (waited about 25 min). After getting in and stamped, we hopped around some other clubs before coming back to this one (around midnight when there were many more people). 

Crowd was mainly younger people in their 20s. Didn't get the chance to try out the bar but it seemed to be pretty popular as expected. The space itself is beautiful - three stories (although the third floor was closed when we were there). Bottom floor is a huge bathroom space with several walls to take photos. 

Music-wise, lots of Top 40-esque type music remixed as EDM - pretty easy to get into but it's not for everyone. 

All in all - highly recommend this be any person's stop for nightlife in Vancouver!",2019-06-23T17:31:17Z,5
4,Levels Nightclub,4.0,"Good club. Good atmosphere and drinks, but the music leaves a lot to be desired. 3 stars.",2020-02-23T18:37:48Z,5
5,The Roxy,3.5,"Oh my goodness, it has been a while since I've been out but this is a rocking place. 

Dance party central! Music is awesome with a great DJ but the band was stellar! Totally recommend this place for a night out. Decor is nothing to get excited about but who cares if your just want to dance!

The place gets really crowd so if you want a seat go early.",2019-12-16T05:19:06Z,120
6,The Roxy,3.5,I had an order of lasagnefrom Alki's and they would not let me bring it in to the bar even though I said i would be very clean and good. I told them I would eat elsewhere. I will never try to eat here again.,2024-03-30T02:14:52Z,120
7,The Roxy,3.5,Amazing always a consistent good time. Lots of beautiful women beautiful experiences clothes off when they're on the floor boys if you're looking for fun and I will find a better place.,2023-08-01T02:26:46Z,120
8,The Roxy,3.5,Pretty cool place with a pretty solid environment and good music. I'd recommend it if you haven't been,2023-08-24T07:32:27Z,120
9,The Roxy,3.5,"We returned to The Roxy since Covid to listen to more live music.  At the entrance the bouncers checked for Covid Passports.  They were extremely respecful  and patient when denying some patrons entry and handled the line up well. The service at the bar was so super, Everett the bar tender was also friendly and respectful and generous with the drinks. He had good energy to serve the public. The drinks were satisfying as they usually are. The live music was also incredible , both bands had the customers mesmerized. The crowd was friendly, fun, respectful and all ages so anyone would feel comfortable here. A clean, safe happy environment that I am happy to  return to.",2021-10-30T23:03:26Z,120
10,The Roxy,3.5,Live band and more.. first time went with friends it was quiet nice and good service.,2023-04-28T04:38:00Z,120
11,The Roxy,3.5,"So many sweaty men! Weak drinks that are overpriced, basic music, takes 20+ minutes to get a drink from the overwhelmed bartenders, and the doorman did nothing to balance out men and women. Trashy.",2022-12-25T09:58:26Z,120
12,The Roxy,3.5,"Country music night on a Sunday? Yes please! Great to see a club like this change it up and have a country music night, excellent vibe from the whole place and all the guests looked to be having a great time.",2023-08-25T06:52:07Z,120
13,The Roxy,3.5,you want me to tip your bouncer to get in?! terrible business practices.,2023-03-26T22:47:09Z,120
14,The Roxy,3.5,"Sundays at the Roxy seem to be the place to go! 

It's Country night, Yahoo!! I'm so not a country girl, but they do a great job at playing lively country with a lot of rock cross-over and a touch of this and that to keep all entertained! The thing I really enjoy about the Roxy is the live entertainment. Again, even though Country is not my personal favorite, there are so many good groups that play here its easy to enjoy the Country, most of it anyhow.

It's an older looking bar and it's definitely a little ""dive like"" but a fun and respectable dive bar. The bathrooms are always working and fairly clean with toilet paper, unlike most ""Dive bars"" in Van. They have pleasant door staff/cashiers. In fact, I was very impressed the cash lady picked up on it being my birthday week and waved my cover! Nicely done!! That was much appreciated. 

Fair amount of seats with tables and booths, if you get there early enough! You also get a good mix with the crowd, both in age and style. I appreciate that and it usually shines through in a solid venue. In reality, everyone is different, but we all just wanna get tipsy and have a good time listening to awesome tunes!

The also have a pool table at the back bar which we all wait patiently to play.",2018-02-01T01:35:24Z,120
15,The Roxy,3.5,"order the cheese table! do it, you wont be disjointed.",2017-07-11T22:29:52Z,120
16,The Roxy,3.5,I came here two days in a row. And both times weren't bad. There was a live band on Friday and Saturday nights that did mostly covers. The drinks were okay and there were a decent amount of seating. The people seemed really cool and extremely nice. I mean Vancouver in general is pretty clean and safe.,2013-05-24T09:42:52Z,120
17,The Roxy,3.5,"A consistent good time ~ that place is a fail safe for a super fun night out with friends. I love it because it's casual, live band, good drinks (and as busy as it is the line for the bar is never too long). Beware the line starts early!",2015-09-10T13:24:41Z,120
18,The Roxy,3.5,The bar itself is decent but one bartender has her head up her ass . I went in completely sober after work around 1am and she acted annoyed that I was ordering a round of drinks.. gave her $25 on a $18 tab and she was still a total bitch. If she doesn't want to serve women maybe she should work at a brothel. I had one drink and left even though there is another bar to order drinks from.. Left a bad taste in my mouth and if I ever go there again I'll be sure to tip her nothing.,2014-05-25T16:27:23Z,120
19,The Roxy,3.5,This club is so much fun! Can anyone figure out what kind of tequila they serve there? I had it and never got the name but it was amazing! I would really appreciate if someone could figure it out.,2017-02-21T04:01:30Z,120
20,The Roxy,3.5,"LOOOOVED hanging out at the Roxy! The music was fantastic, the live band this past Tuesday was amazing! I could not have asked for more.",2012-11-02T21:47:31Z,120
21,The Roxy,3.5,Roxy Sunday is always great. Good country classics and often a live band. Always deals on drinks. $7 for cover,2017-04-16T05:52:55Z,120
22,The Roxy,3.5,Great music and environment! But I'm pretty sure the bartender overcharged us on our drinks because we were from Oregon. Overall cover charge was manageable and the music and people were fantastic!,2012-11-28T18:16:46Z,120
23,The Roxy,3.5,"The Roxy is to Granville strip, what Canada place is to Vancouver itself. It's one the icon for Vancouver's club scene. If you don't want to be surrounded by snobby wannabes or pretentious teenager, this is the place for you. Live music, fun time. But the downside those who come here are too grungy and sweaty, the kind you don't want to be next to you. I always feel I need to dress down before going here instead of dressing up, just to mix in. But nevertheless, my friends love it so I keep on going back.",2011-03-07T06:42:58Z,120
24,The Roxy,3.5,"If you ever find yourself in Vancouver from out of town and are suddenly hit with the realization that all of the bars around you are shutting down around midnight, fear not...you have an amazing go-to in The Roxy. To be honest, I had heard stories about the legendary Roxy bar in the years prior to my visit. I was expecting it to be a fun time, and it definitely was. To sum-up The Roxy in 2 words, it's a Character Factory. We walked up and discovered there was a cover charge. As we were walking away to find an ATM, a woman in line kindly offered to pay our admission. Once we got inside, we found ourselves in great company with strangers from all walks of life. Everyone there is just trying to have a good time after midnight. While there, we met a treasure hunter, an ex-semi-pro hockey player (which admittedly is fairly common in Canada), a metal guitar player, and a vagabond. We had shots with all of them at our table. The service is really efficient at dealing with intoxicated people. At one point, I tripped and dropped my tray and they kindly replaced the drinks for us. Later in the evening I found the woman who paid for our cover charge. I tried to hand her a drink to say thanks. Instead, she grabbed me by the back of my head and tried to make out with me. Your experience may vary, but this is a wild and roaring good time.",2015-09-02T15:49:33Z,120
25,The Roxy,3.5,"Haven't been here in ages. Well last time here was probably like 4 years ago. So went back recently but that is because it was a celebration for my sister. So it was one of those accounting night. Yes that is the only time I would really come here. Once a year kind of thing. So nothing has changed since 4 years ago. Its still very loud and very crowded. Loud music is a must. It has a  bar near the entrance and it curves around to the side of the wall. 

There is a live band. So its not just a DJ playing music like the other clubs. People dance in front of the stage. 

I would say out of most of the bar I like this one because not many has a live band.",2017-12-01T08:59:56Z,120
26,The Roxy,3.5,"I'm disappointed because I heard this was the place to be on a weekend if you're going out. Coming from Toronto, which has a lot of nightlife regardless of the day, seeing this ""club"" was a major let down.

I went with my roommates for a Meetup group so our cover fees were waved, if not, we would have paid 13$ each!! Ridiculous amount for something so boring.

It's not a club but rather a place for bands to showcase their talents. I'm not a rock fan so I had the worst time being here but my roommate loved it! He said it was rad. In between bands, they played a bit of top 40 and oldies so I liked that but it lasted maybe 30mins. The crowd is a mixture of young and old people 

The other thing I didn't like was that they require photo ID Everytime a credit card is used - their explanation was that they didn't have a chip reader. Still, never seen this done in Toronto even with restaurants/bar with no chip reader

Safe to say I won't be coming back here. And if rock music or bands aren't your scene, don't waste your money or time",2018-03-31T16:31:44Z,120
27,The Roxy,3.5,"Our burgers were deceitful - in a good way, and you'll shortly know what I mean - because when they arrived, they looked neat and well put-together, but maybe not that tasty. However, when we took our first bites, it was a mouthful of flavours and then they gushed with meat juices and all over our hands.",2019-10-23T02:33:28Z,120
28,The Roxy,3.5,"Its official.  This is my favorite bar in all of Vancouver.  It's also the bar for all the other bartenders and wait staff I notice from other bars.  (Shhhh....don't tell their managers...oh wait sometimes I see them here too!).  The bands are great and keeps the party bumping.  Special Mention to the new band Tattoo Alibi and Troy's R Us whom can play basically anything and keep the party bumping.  The dance floor is large enough and always busy and there's always something to do around the bar.   You'll find table hockey and phone chargers at the side bar, pool tables and photo booths in the back bar.  I always have a good time here.  Even on a bad night I always end up feeling better ending my nights here.  

The song that I use to describe this bar would be Toby Keith's I love this bar because I love this bar!  Everyone is nice and friendly, my favorite bartenders include Cat, Stephanie, Michelle, Sasha, Joe, Everette, Irv, Jaralin, everyone here is awesome.  Special mention to Cat whom's in the back bar.  (The music is bumping in the main room, but the party is in the back bar with the pool tables and photo booth where conversations are easier.  Plus grab your friends or some other patrons and ask Cat for a game of who am I and she'll gladly oblige.  For those that don't know what game that is, watch inglorious bastards.  It's the game in the basement before everyone gets shot up.)

Randy keeps the show running, Jarrad and Danielle always have some great promo nights planned.  It's pretty awesome.  Special mention to all the bouncers whom are all nice friendly and welcoming  people (unless of course they have to take action.)  This bar is pretty much the busiest bar on Granville every night of the week including weekdays.  The porters are all friendly, Franco, Alex, Dhillon. 

Tjana and Mara are always great in coat check and Ashleigh and Darcy have always been friendly at the front.

This place has earned it,  5 stars to the Roxy and their wonderful staff.",2015-04-16T17:37:30Z,120
29,The Roxy,3.5,"Finally had a chance to see what THE Roxy was all about.  Knock another one off the bucket list.

Parking is horrendous here.  Try the side streets far away.

The venue looks like it has been added to and modified over the years.  There is a stage one side, and 3 (yes, 3) bars from which one can purchase alcoholic beverages.  For a more quiet experience, the 3rd bar is tucked away in the back, behind the 2nd bar.  There is a pool table there too.

The night I went, there was a cowboy band playing.  Actually not bad at all.  Once they got the tunes going, the dance floor quickly filled up.  Once in a while, they let groups of ladies up on the stage as well.

The music is loud, but not blow-your-eardrums loud, which is a nice change compared to other Vancouver clubs.  One can actually somewhat have a conversation here.

Drinks were a bit pricey, but it's a club after all.

Definitely a good time.",2015-07-21T05:56:59Z,120
30,The Roxy,3.5,"It's a pretty nice place to hang with your friends, have a drink and watch a band play. The prices of drinks are expected. Service is alright.

There's a beam in the middle that sort of blocks your view of the stage if you sit near the center at the tables though.",2019-11-15T21:59:10Z,120
31,The Roxy,3.5,Great bands! Great music! Great fun! Dave the bartender was awesome! What a great night in Vancouver!,2022-05-12T03:57:26Z,120
32,The Roxy,3.5,Live music is alright. Need to do a better job at restocking the toliet paper in the women's washrooms though....,2022-05-15T09:12:09Z,120
33,The Roxy,3.5,"This was a fun place to go on a Saturday night with a group of gals, celebrating our beloved bride-to-be.  We were bar hopping and found this place along the way, fortunately.  To be honest - I liked it better than most of the other places we went to because it wasn't a clubby vibe!  It's a very casual bar with live music, playing rock.  So I was a fan.

There's a bar area and then a huge space for dancing where the main stage is.  On a Saturday it was very lively, and in fact, there were two other bachelorette parties here where the singer even called up the brides.  There's nothing pretentious or superficial about The Roxy, which is what I like about this place.  The crowd also seems older and really here for the music, not to party.  Overall, this is a great bar playing indie rock in downtown Vancouver.",2017-11-12T01:14:14Z,120
34,The Roxy,3.5,My friends and I came up to Vancouver for a couple days and went to Roxy two nights in a row! We love the live music and the bartenders. Being women the bouncers were on top of making women feel safe and we very much appreciated that.,2022-03-18T19:34:20Z,120
35,The Roxy,3.5,"Oh, the Roxy. Many of my fresh-19 nights were spent here on Roxy Sundays. 

If you like country, Sundays are the best day to go. They've got live music and line dancing, and plenty of liquor to go around. Compared to other clubs on the Strip, The Roxy is fairly smaller. They have 2 main bars, one right next to the dance floor, and one in the back room by the pool table. 

Service is usually hit or miss. They're fairly busy on most nights, so it can take a little bit longer to get a drink. But just be patient and be kind to the bartenders and you'll eventually get your drink. 

Roxy is fun on other nights too. Honestly, I've only been here one or two other times that weren't on a Sunday, and it was still a great time. 

One of the great things about the Roxy is that it's on the Strip, so if you want to leave the club to get food, there are plenty of late night options! 

Many drinks were had and fun memories were made at the Roxy, so cheers to them!",2018-06-04T05:47:39Z,120
36,The Roxy,3.5,"Really fun spot! I'm not too familiar with the area, but this spot was recommended by several friends as well as my hotel staff. I had a fabulous time and spent my entire night there (though I had planned on exploring Granville). There was live music but they played hits that we all knew and sang along to- good mix of modern chart toppers and throwbacks. The bartenders were really cool and the vibe of the place was awesome. Can't wait to go back!",2018-12-10T22:46:13Z,120
37,The Roxy,3.5,"We were staying about 2 blocks from Granville St, so we asked our host how to get a ""local"" taste of Vancouver. She mentioned this place with a little of hesitation saying that it was full of ""interesting characters"", so we knew we HAD to go here! We got here around 11pm/midnight, so we had to pay cover of $13.

The atmosphere: One expectation needs to be set: this is NOT a classy bar establishment---but it is a fun time. The Roxy is divided into 2 areas, one with a bar and an open are with a few tables/bar stools, and then the inside of the Roxy, which had tables, and a stage set up for bands. We miraculously found a table to sit at right near the bar. The place was packed and busy! We definitely did meet a few interesting people (like a drunk doctor who liked smashing cups..), and we had a wonderful time just being in the lively atmosphere and talking to strangers. The music is fun and upbeat. Normally, I would give a place like this 3 starts, but I'm giving it an extra star for the fun time! 

The drinks: I would be drunk before you get here. The drinks here are pricey, considering that they are pretty watered down and not strong. Their menu is a standard cocktail menu.",2016-01-09T00:33:07Z,120
38,The Roxy,3.5,"If you're looking for a bar that has rude bouncers who try to act macho all the time and male bartenders who are only willing to be nice to pretty girls, i would totally recommend this place. 

Also, the fact that they let people line up out front even though the bar is dead inside is very ridiculous.",2018-11-19T21:13:04Z,120
39,The Roxy,3.5,A girl threw up on me in the bathroom. Not the worst thing that could happen but also not the best.,2019-02-19T11:12:26Z,120
40,The Roxy,3.5,"- 7$ covers on a Thursday 
- Small area with 3 bars
- live music
- I found the dance floor to be quite small. They were also letting in way too much people, there was hardly any room to walk around without spilling a drink.
- The crowd is interesting, I'm talking people of all kinds, everyone is out to have a good time. 
- Washrooms cramped and worn down.",2017-08-27T23:57:33Z,120
41,The Roxy,3.5,"S/O to the two bouncers who I met at St. Paul's hospital. Honestly, they don't get enough credit for the job that they do. 

S/O again for remembering me and letting me in for free ;)

I was being treated for an allergic reaction. I shared a room with two gentlemen who wore The Roxy shirts - this prompted the conversation. One of them injured their hand from an altercation with a drunk dude. It's kind of scary and a reminder of how daunting their job can be, if they need to take action.

---

I always have fun at Roxy. The live music is fantastic, and the staff is always friendly and accommodating. Super atmosphere, which makes a super crowd! Everybody's bouncin' around. No young, wide-eyed kids here, but people who are out to party and not stand around eyeing others up with judgmental attitudes.",2016-08-04T07:04:14Z,120
42,The Roxy,3.5,"Went to The Roxy tonight (Friday) and the place was hopping!

Also had great bartenders and a great band that was playing some awesome cover songs. I would recommend this place for anyone who is wanting to party or dance!

Take note that there are a lot of people here!",2014-01-11T09:56:41Z,120
43,The Roxy,3.5,"Perhaps it's that I always visit on Sunday nights (and hate country music) that this venue has never really done it for me.  Lines are shockingly long and once you're in,  the layout of the first bar right at the front door leaves you feeling claustrophobic immediately.  Drink deals are pretty good as you can get a shot of tequila and a corona for ten bucks - if only you didn't have to fight for a spot to be seen at the bar.

Part of the ""charm"" or this venue is that women can often get free drinks for flashing the bartender as long as they are willing to get a lovely ""Roxy"" tattoo on their upper chest somewhere.  The whole procedure of dumping alcohol directly into girl's mouths while they sit on the bartop slows down service and is bordering on creepy. 

I'll update my review if another night of the week proves to be less crowded/more enjoyable as a whole.",2016-02-22T23:02:13Z,120
44,The Roxy,3.5,"While visiting Vancouver, I asked a few locals about which bars to go and got the following advice:

""Nobody wants to go but you always end up going to the ROXY""

""You have to go to ROXY! If you don't go, you can't say you have been to Vancouver"" 

""Well you could go to (this) bar or (that) bar but you absolutely cannot miss going to the ROXY""

So of course I just had to check it out ... 

I went during the free white Tshirt / write stupid and sexual remarks on your neighbors shirt / drink as much barcardi as you can / dance the night away type of night. 

The Roxy tries really hard to be cool. This is definitely a young kids bar and not the best for a conversation or a casual beer. You come to this place to get after it.

Not my cup o tea but maybe you will enjoi the flavor.",2012-06-13T04:03:31Z,120
45,The Roxy,3.5,"We came here on a country music night with a live band.  The band was awesome and people seemed to be enjoying the night.  The place looks alright in the dark but it probably needs some renovating around the place and possibly some new furniture.  The dance floor was a bit too small because it is just a long strip in front of the stage.  I'm surprised that the bathroom's cleanliness was not bad at all!  There's a small back section where there is a bar and a pool table.  Now here is where I deducted a star from 3 stars to 2 stars: the back section stinks and i'm not kidding you.  That is a big no no in my books, whatever that smell is, it needs to go whether you need to strip the old carpet or whatever it is.",2015-08-20T20:05:57Z,120
46,The Roxy,3.5,"Oh, the Roxy ... looks like a dump from the outside but it's one of the best bars anywhere.

I started going here years ago when I visited Vancouver and it's always fun.  

The first thing we think of for the Roxy is the band.  I've seen the same band most nights -- thin male bassist, shaved head guitarist and short brunette lead singer.  They sing EVERYTHING and it sounds amazing.  Two of my favorite covers they did were U2's One and The Outfield's Your Love.  I still remember that and they're a cover band.  They are so talented.  One of my coworkers said they'd make a great wedding band ... but then nobody would leave your wedding because they'd want to hear the next song.

There are two bars so it's convenient.  The crowd is mixed from 20s to 40s at least.  We've seen the Canucks' opponent here after a game and the girls flock to them.

If I had one issue, it's the music is always super loud.  I try to stay in the back because I'm concerned about my hearing but it tends to be loud.  No one wears ear plugs because it's not cool but I couldn't go here every night or once a week if I lived in Vancouver because of the noise level.",2010-02-14T07:15:18Z,120
47,The Roxy,3.5,"Every time me and the boys leave the Seattle area and make our way up to Vancouver, we make sure to spend at least one night partying our asses off at The Roxy. The live music that they have playing there is always amazing. Drinks aren't too pricey for a club, but that being said make sure to pregame a bit before heading here. Friendly staff pass the vibe check, would recommend to anyone heading up to Vancouver on a weekend",2020-06-30T17:34:54Z,120
