,gym_name,overall_rating,review_text,date,review_count
0,Cypress Mountain,3.7,"This place has really really beautiful scenery and sunset. It is 30 min drive away from downtown Vancouver, super convenient 

Now let's talk about the slopes, most runs are super bumpy with lots of moguls. Not the best for snowboarding, only 2-3 runs have smooth packed runs that you can go fast. Great place for beginners or skiers.",2023-03-16T04:34:46Z,103
1,Cypress Mountain,3.7,"This is my favourite local mountain. It's kind of your no frills place for winter activities from tubing, cross country skiing, and downhill ski and snowboard activities.

There's a nice cafe and shop where you can buy or rent your gear and even get some waxing or maintenance done for your equipment.

Be sure to buy your tickets online for easy check in if you already have a pass card. Or you can retrieve it from one of the automated kiosks with your purchase QR code. Lifts are plentiful and fast and great for beginners or experts alike.",2023-01-24T21:08:21Z,103
2,Cypress Mountain,3.7,"I found Cypress quite nice maybe it's because it's above the cloud and the conditions are just better.  It is not accessible by bus, your option is parking or the shuttle ($35 round trip) or what I did was carpool in the area ($20).

The location has night skiing so it's pretty nice if you're not an early riser, on two of my days the Sky lift was closed and on the final day it was open on my 3 day pass visit.

The conditions have a lot of character some more friendly for snowboarding and some more friendly for skiing.  The moguls are nice to tackle when new powder is down, there are snow machines.  I really enjoyed the conditions it was a mini version of a mountain that still left me aching from all the carving and it had beautiful sunset views, just visit my Instagram for a shot of that.

The washrooms on the lower floor next to the Starbucks has hand dryers.  Hot chocolate will cost you $5 and beer will cost you $6-7.50 with additional liquor tax.

I found this place crowded ; you can bypass the line with the ""single"" entrance.

Check out my insta for a snapshot from Raven with the Olympic Rings in the background.",2023-01-11T06:34:26Z,103
3,Cypress Mountain,3.7,"LPT: Take the lesson! Great place and everyone working was genuinely kind. An assortment of people from all over. 

I unfortunately didn't know what I was doing and had a scary first time! But I can see the joy others had!",2023-05-07T19:41:57Z,103
4,Cypress Mountain,3.7,Very beautiful and accessible ski resort near Vancouver. You can see the whole city when you get tot the top. The only thing was that the ski lanes were way too short. It took 10 mins to get up but 30 seconds to get down. I will still consider coming for its convenience of the location,2023-01-02T05:30:48Z,103
5,Cypress Mountain,3.7,"Info on cafeteria as Crazy Raven Grill was closed that day.  There is a grab and go section of sandwiches, wraps, salads and desserts. See photo on pricing and selection. Overall food was hot and dining area is well maintained. Please do limit yourself as there are signs posted for 30 minutes of dining as seats are limited.  Another positive since covid is there is a hand washing station on the 2nd floor.",2022-01-25T21:39:28Z,103
6,Cypress Mountain,3.7,"Got there at 8:30am and getting our rentals and rfid was a quick process! The mountain was relatively empty from 9-1ish, which was nice and staff were on top of making sure everyone was wearing a mask! 

At one point I was going down and kept falling and my knee was hurting and I realized that my binding had shifted so that my left foot was facing inwards, which was a big problem. I was still halfway up so I had no choice but snowboard down in absolute pain because of the shift. I took the board to the rental area and the guy was flabbergasted at how that happened, considering the binding was on the board really tight. He got me new binding and put it on properly but the damage was done, my knee was in so much pain that I only did one more small run and had to call it. I spent most of the afternoon sitting around (I wanted my friends to make the most of the trip so I waited) 

Overall great experience, though it did get very busy around 4:30-5pm and no one was social distancing. 
I regret paying almost $200 considering the flaw in the snowboard binding that I was given by the resort which resulted in me being unable to snowboard the whole day so I spent $$ for half a day  

The views from up there are incredible, and I would likely go again but not during a time when they double their ticket prices, cause it's really not worth it :/ 

The actual runs themselves were great and challenging for a beginner at least, and I appreciated the importance they put on masks so I would recommend this place to others!",2020-12-29T23:09:53Z,103
7,Cypress Mountain,3.7,"I just spent 30 minutes of frustration on the cypress mountain website. 
Someone needs to test it, as it is not only poorly designed but does not even do the simplest functions. Definitely not overloaded with traffic as late at night, end of season. 
 
I asked for a password reset to my email six times, waited 2 hours and nothing ever came.It said ""success"" each time, which implies it had my correct email address. 
 
Then I used a different email to create a new account. I created the group members/bdates, made my ski lift order, click the shopping cart , read and initial the waivers, then the Continue button goes dark and the page freezes. This happened 5 times. 
 
Honestly, someone needs to look into this. Pretty basic stuff. 
 
The short season of Cypress/Grouse/Seymour mountains needs all the help it can get. Many years ago, I saw Grouse mountain go bankrupt several times before they developed their summertime gondola business. 
 
This complaint will also go on YELP, in hopes someone will wake up over there. 
Good luck. Great mountain/facilities... really lousy website.",2023-03-28T03:21:04Z,103
8,Cypress Mountain,3.7,Loved Cypress Mountain. We went for the snow tubing and it didn't disappoint. We went during the week on a Wednesday. Not a lot of people. The staff that worked that day was AMAZING!!!! They were all so kind and very helpful. My kids loved going down all three hills. You can tell when people enjoy going to work. They all had amazing attitudes.,2023-02-11T04:41:16Z,103
9,Cypress Mountain,3.7,"Small but super cool ski resort with amazing views of Lions Bay. 

Spring skiing season. We came here for some quick short turns. The runs are very short but still fun. There's only 4 chair lifts really and one was closed due to coverage issues. 

The mountain is stunningly beautiful and sky chair has the best views. Terrain is ok. High speed quad chairs are nice, RF ID to enter the ski area. 

WiFi is impossible to connect! Bathrooms are not super clean. Parking was pretty easy.",2019-04-02T06:44:10Z,103
